Type of championship,Frist team,Secend team,Match time,Score,Date
كأس الأمم الأفريقية,نيجيريا,الكاميرون,22:00,2 - 0,2024-01-27
كأس الاتحاد الإنجليزي,إبسويتش تاون,ميدستون يونايتد,14:30,1 - 2,2024-01-27
كأس الاتحاد الإنجليزي,ايفرتون,لوتون تاون,17:00,1 - 2,2024-01-27
كأس الاتحاد الإنجليزي,ليستر سيتي,بيرمنجهام,17:00,3 - 0,2024-01-27
كأس الاتحاد الإنجليزي,شيفيلد يونايتد,برايتون,17:00,2 - 5,2024-01-27
كأس الاتحاد الإنجليزي,ليدز يونايتد,بلايموث أرجايل,17:00,1 - 1,2024-01-27
كأس الاتحاد الإنجليزي,فولهام,نيوكاسل,21:00,0 - 2,2024-01-27
الدوري الإسباني,ريال سوسيداد,رايو فاييكانو,15:00,0 - 0,2024-01-27
الدوري الإسباني,لاس بالماس,ريال مدريد,17:15,1 - 2,2024-01-27
الدوري الإسباني,برشلونة,فياريال,19:30,3 - 5,2024-01-27
الدوري الإسباني,مايوركا,ريال بيتيس,22:00,0 - 1,2024-01-27
الدوري الإيطالي,أتالانتا,أودينيزي,16:00,2 - 0,2024-01-27
الدوري الإيطالي,يوفنتوس,إمبولي,19:00,1 - 1,2024-01-27
الدوري الإيطالي,ميلان,بولونيا,21:45,2 - 2,2024-01-27
الدوري الألماني,شتوتجارت,لايبزيج,16:30,5 - 2,2024-01-27
الدوري الألماني,فولفسبورج,كولن,16:30,1 - 1,2024-01-27
الدوري الألماني,هوفنهايم,هايدنهايم,16:30,1 - 1,2024-01-27
الدوري الألماني,أوجسبورج,بايرن ميونيخ,16:30,2 - 3,2024-01-27
الدوري الألماني,فيردر بريمن,فرايبورج,16:30,3 - 1,2024-01-27
الدوري الألماني,باير ليفركوزن,مونشنجلادباخ,19:30,0 - 0,2024-01-27
الدوري الفرنسي,نيس,ميتز,18:00,1 - 0,2024-01-27
الدوري الفرنسي,مارسيليا,موناكو,22:00,2 - 2,2024-01-27
مباريات ودية -أندية,أهلي جدة,ووهان ثري تاونز,16:00,3 - 1,2024-01-27
الدوري التركي,ألانيا سبور,بينديكسبور,15:00,1 - 1,2024-01-27
الدوري التركي,أضنة دمير سبور,هاتاي سبور,18:00,0 - 1,2024-01-27
كأس الأمم الأفريقية,غينيا الاستوائية,غينيا,19:00,0 - 1,2024-01-28
كأس الأمم الأفريقية,مصر,الكونغو الديمقراطية,22:00,1 - 1,2024-01-28
كأس الاتحاد الإنجليزي,وست بروميتش,وولفرهامبتون,13:45,0 - 2,2024-01-28
كأس الاتحاد الإنجليزي,واتفورد,ساوثامبتون,16:00,1 - 1,2024-01-28
كأس الاتحاد الإنجليزي,ليفربول,نورويتش سيتي,16:30,5 - 2,2024-01-28
كأس الاتحاد الإنجليزي,نيوبورت كاونتى,مانشستر يونايتد,18:30,2 - 4,2024-01-28
الدوري الإسباني,سيلتا فيجو,جيرونا,15:00,0 - 1,2024-01-28
الدوري الإسباني,قادش,أتلتيك بلباو,17:15,0 - 0,2024-01-28
الدوري الإسباني,اشبيلية,أوساسونا,19:30,1 - 1,2024-01-28
الدوري الإسباني,اتلتيكو مدريد,فالنسيا,22:00,2 - 0,2024-01-28
الدوري الإيطالي,جنوى,ليتشي,13:30,2 - 1,2024-01-28
الدوري الإيطالي,مونزا,ساسولو,16:00,1 - 0,2024-01-28
الدوري الإيطالي,هيلاس فيرونا,فروزينوني,16:00,1 - 1,2024-01-28
الدوري الإيطالي,لاتسيو,نابولي,19:00,0 - 0,2024-01-28
الدوري الإيطالي,فيورنتينا,إنتر ميلان,21:45,0 - 1,2024-01-28
الدوري الألماني,يونيون برلين,دارمشتات,16:30,1 - 0,2024-01-28
الدوري الألماني,بروسيا دورتموند,بوخوم,18:30,3 - 1,2024-01-28
الدوري الفرنسي,مونبيليه,ليل,14:00,0 - 0,2024-01-28
الدوري الفرنسي,ريمس,نانت,16:00,0 - 0,2024-01-28
الدوري الفرنسي,لوريان,لوهافر,16:00,3 - 3,2024-01-28
الدوري الفرنسي,كليرمونت,ستراسبورج,16:00,1 - 1,2024-01-28
الدوري الفرنسي,تولوز,لانس,18:05,0 - 2,2024-01-28
الدوري الفرنسي,باريس سان جيرمان,بريست,21:45,2 - 2,2024-01-28
مباريات ودية -أندية,الزمالك,أهلي جدة,18:00,3 - 0,2024-01-28
الدوري التركي,قونيا سبور,إسطنبول باشاكشهير,12:30,2 - 3,2024-01-28
الدوري التركي,سيفاسبور,بشكتاش,15:00,1 - 0,2024-01-28
الدوري التركي,فاتح كاراجومروك,ريزه سبور,15:00,4 - 0,2024-01-28
الدوري التركي,فنربخشة,أنقرة جوتشو,18:00,2 - 1,2024-01-28
الدوري البرتغالي,بوافيستا,بورتيمونينسي,17:30,1 - 4,2024-01-28
الدوري البرتغالي,موريرنسي,فاماليكاو,17:30,1 - 0,2024-01-28
الدوري البرتغالي,فيرنسي,بورتو,20:00,1 - 3,2024-01-28
الدوري البرتغالي,جل فيسنتي,فيتوريا جيماريش,22:30,1 - 0,2024-01-28
الدوري البرتغالي,أروكا,فيزيلا,22:30,5 - 0,2024-01-28
كأس الأمم الأفريقية,كاب فيردي,موريتانيا,19:00,1 - 0,2024-01-29
كأس الأمم الأفريقية,السنغال,كوت ديفوار,22:00,1 - 1,2024-01-29
كأس الاتحاد الإنجليزي,بلاكبيـرن  روفرز,ريكسهام,21:30,4 - 1,2024-01-29
الدوري الإسباني,خيتافي,غرناطه,22:00,2 - 0,2024-01-29
الدوري الإيطالي,ساليرنيتانا,روما,21:45,1 - 2,2024-01-29
دوري القسم الثاني-أ,حرس الحدود,جمهورية شبين,14:30,1 - 0,2024-01-29
دوري القسم الثاني-أ,غزل المحلة,دكرنس,14:30,2 - 0,2024-01-29
دوري القسم الثاني-أ,المصرية للاتصالات,النجوم,14:30,1 - 0,2024-01-29
دوري القسم الثاني-أ,مكادي,بتروجيت,14:30,0 - 1,2024-01-29
دوري القسم الثاني-أ,أسوان,بروكسي,14:30,0 - 1,2024-01-29
دوري القسم الثاني-أ,القناة,النصر للتعدين,14:30,1 - 0,2024-01-29
دوري القسم الثاني-أ,بترول أسيوط,السكة الحديد,14:30,0 - 1,2024-01-29
دوري القسم الثاني-أ,لافيينا أف سي,وادي دجلة,14:30,3 - 4,2024-01-29
دوري القسم الثاني-أ,مصر المقاصة,طنطا‏,14:30,0 - 3,2024-01-29
دوري القسم الثاني-أ,أبو قير للاسمدة,راية الرياضي,14:30,0 - 0,2024-01-29
الدوري التركي,إسطنبول سبور,سامسون سبور,16:00,1 - 1,2024-01-29
الدوري التركي,قيصري سبور,انطاليا سبور,16:00,1 - 1,2024-01-29
الدوري التركي,جالاتا سراي,غازي عنتاب بي.بي.كي,19:00,2 - 1,2024-01-29
الدوري التركي,طرابزون سبور,قاسم باشا,19:00,2 - 3,2024-01-29
الدوري البرتغالي,إستريلا,بنفيكا,20:45,1 - 4,2024-01-29
الدوري البرتغالي,سبورتينج لشبونة,كازا بيا,22:45,8 - 0,2024-01-29
كأس الأمم الأفريقية,مالي,بوركينا فاسو,19:00,2 - 1,2024-01-30
كأس الأمم الأفريقية,المغرب,جنوب أفريقيا,22:00,0 - 2,2024-01-30
الدوري الإنجليزي,نوتينجهام فورست,أرسنال,21:30,1 - 2,2024-01-30
الدوري الإنجليزي,فولهام,ايفرتون,21:45,0 - 0,2024-01-30
الدوري الإنجليزي,لوتون تاون,برايتون,21:45,4 - 0,2024-01-30
الدوري الإنجليزي,كريستال بالاس,شيفيلد يونايتد,22:00,3 - 2,2024-01-30
الدوري الإنجليزي,أستون فيلا,نيوكاسل,22:15,1 - 3,2024-01-30
كأس ألمانيا,سانت باولي,ف.دوسلدورف,21:45,2 - 2,2024-01-30
الدوري الإنجليزي,توتنهام هوتسبر,برينتفورد,21:30,3 - 2,2024-01-31
الدوري الإنجليزي,مانشستر سيتي,بيرنلي,21:30,3 - 1,2024-01-31
الدوري الإنجليزي,ليفربول,تشيلسي,22:15,4 - 1,2024-01-31
الدوري الإسباني,برشلونة,أوساسونا,20:00,1 - 0,2024-01-31
الدوري الإسباني,اتلتيكو مدريد,رايو فاييكانو,22:00,2 - 1,2024-01-31
كأس رابطة الأندية المحترفة,طلائع الجيش,الجونة,16:30,1 - 1,2024-01-31
كأس رابطة الأندية المحترفة,الاتحاد السكندري,إنبي,19:30,2 - 0,2024-01-31
كأس ألمانيا,هيرتا برلين,كايزرسلاوترن,21:45,1 - 3,2024-01-31
الدوري البرتغالي,ريو آفي,إستوريل,20:45,1 - 1,2024-01-31
الدوري البرتغالي,سبورتينج براجا,شافيش,22:45,1 - 1,2024-01-31
الدوري الإنجليزي,وست هام يونايتد,بورنموث,21:30,1 - 1,2024-02-01
الدوري الإنجليزي,وولفرهامبتون,مانشستر يونايتد,22:15,3 - 4,2024-02-01
الدوري الإسباني,خيتافي,ريال مدريد,22:00,0 - 2,2024-02-01
كأس رابطة الأندية المحترفة,سيراميكا كليوباترا,سموحة,16:30,2 - 0,2024-02-01
كأس رابطة الأندية المحترفة,المصري,بيراميدز,19:30,3 - 1,2024-02-01
مباريات ودية -أندية,النصر,انتر ميامى,20:00,6 - 0,2024-02-01
كأس الأمم الأفريقية,نيجيريا,أنجـــــولا,19:00,1 - 0,2024-02-02
كأس الأمم الأفريقية,الكونغو الديمقراطية,غينيا,22:00,3 - 1,2024-02-02
الدوري الإسباني,أتلتيك بلباو,مايوركا,22:00,4 - 0,2024-02-02
الدوري الإيطالي,ليتشي,فيورنتينا,21:45,3 - 2,2024-02-02
الدوري الألماني,هايدنهايم,بروسيا دورتموند,21:30,0 - 0,2024-02-02
الدوري الفرنسي,ستراسبورج,باريس سان جيرمان,22:00,1 - 2,2024-02-02
الدوري التركي,أنقرة جوتشو,سيفاسبور,16:00,0 - 0,2024-02-02
الدوري التركي,هاتاي سبور,فاتح كاراجومروك,16:00,3 - 1,2024-02-02
الدوري التركي,سامسون سبور,جالاتا سراي,19:00,0 - 2,2024-02-02
كأس الأمم الأفريقية,مالي,كوت ديفوار,19:00,1 - 2,2024-02-03
كأس الأمم الأفريقية,كاب فيردي,جنوب أفريقيا,22:00,0 - 0,2024-02-03
الدوري الإنجليزي,ايفرتون,توتنهام هوتسبر,14:30,2 - 2,2024-02-03
الدوري الإنجليزي,نيوكاسل,لوتون تاون,17:00,4 - 4,2024-02-03
الدوري الإنجليزي,بيرنلي,فولهام,17:00,2 - 2,2024-02-03
الدوري الإنجليزي,برايتون,كريستال بالاس,17:00,4 - 1,2024-02-03
الدوري الإنجليزي,شيفيلد يونايتد,أستون فيلا,19:30,0 - 5,2024-02-03
الدوري الإسباني,فالنسيا,الميريا,15:00,2 - 1,2024-02-03
الدوري الإسباني,غرناطه,لاس بالماس,17:15,1 - 1,2024-02-03
الدوري الإسباني,ألافيس,برشلونة,19:30,1 - 3,2024-02-03
الدوري الإسباني,جيرونا,ريال سوسيداد,22:00,0 - 0,2024-02-03
الدوري الإيطالي,أودينيزي,مونزا,16:00,0 - 0,2024-02-03
الدوري الإيطالي,إمبولي,جنوى,16:00,0 - 0,2024-02-03
الدوري الإيطالي,فروزينوني,ميلان,19:00,2 - 3,2024-02-03
الدوري الإيطالي,بولونيا,ساسولو,21:45,4 - 2,2024-02-03
الدوري الألماني,بوخوم,أوجسبورج,16:30,1 - 1,2024-02-03
الدوري الألماني,فرايبورج,شتوتجارت,16:30,1 - 3,2024-02-03
الدوري الألماني,بايرن ميونيخ,مونشنجلادباخ,16:30,3 - 1,2024-02-03
الدوري الألماني,دارمشتات,باير ليفركوزن,16:30,0 - 2,2024-02-03
الدوري الألماني,ماينز,فيردر بريمن,16:30,0 - 1,2024-02-03
الدوري الألماني,كولن,آ. فرانكفورت,19:30,2 - 0,2024-02-03
الدوري الفرنسي,رين,مونبيليه,18:00,2 - 1,2024-02-03
الدوري الفرنسي,نانت,لانس,22:00,0 - 1,2024-02-03
الدوري التركي,ريزه سبور,قونيا سبور,12:30,0 - 0,2024-02-03
الدوري التركي,إسطنبول باشاكشهير,إسطنبول سبور,15:00,2 - 0,2024-02-03
الدوري التركي,انطاليا سبور,فنربخشة,18:00,0 - 2,2024-02-03
الدوري التركي,غازي عنتاب بي.بي.كي,قيصري سبور,18:00,1 - 1,2024-02-03
الدوري البرتغالي,بورتيمونينسي,أروكا,17:30,1 - 2,2024-02-03
الدوري البرتغالي,بورتو,ريو آفي,22:30,0 - 0,2024-02-03
الدوري الإنجليزي,بورنموث,نوتينجهام فورست,16:00,1 - 1,2024-02-04
الدوري الإنجليزي,تشيلسي,وولفرهامبتون,16:00,2 - 4,2024-02-04
الدوري الإنجليزي,مانشستر يونايتد,وست هام يونايتد,16:00,3 - 0,2024-02-04
الدوري الإنجليزي,أرسنال,ليفربول,18:30,3 - 1,2024-02-04
الدوري الإسباني,فياريال,قادش,15:00,0 - 0,2024-02-04
الدوري الإسباني,أوساسونا,سيلتا فيجو,17:15,0 - 3,2024-02-04
الدوري الإسباني,ريال بيتيس,خيتافي,19:30,1 - 1,2024-02-04
الدوري الإسباني,ريال مدريد,اتلتيكو مدريد,22:00,1 - 1,2024-02-04
الدوري الإيطالي,تورينو,ساليرنيتانا,13:30,0 - 0,2024-02-04
الدوري الإيطالي,نابولي,هيلاس فيرونا,16:00,2 - 1,2024-02-04
الدوري الإيطالي,أتالانتا,لاتسيو,19:00,3 - 1,2024-02-04
الدوري الإيطالي,إنتر ميلان,يوفنتوس,21:45,1 - 0,2024-02-04
الدوري الألماني,فولفسبورج,هوفنهايم,16:30,2 - 2,2024-02-04
الدوري الألماني,لايبزيج,يونيون برلين,18:30,2 - 0,2024-02-04
الدوري الفرنسي,موناكو,لوهافر,14:00,1 - 1,2024-02-04
الدوري الفرنسي,ميتز,لوريان,16:00,1 - 2,2024-02-04
الدوري الفرنسي,ريمس,تولوز,16:00,2 - 3,2024-02-04
الدوري الفرنسي,ليل,كليرمونت,16:00,4 - 0,2024-02-04
الدوري الفرنسي,بريست,نيس,18:05,0 - 0,2024-02-04
الدوري الفرنسي,ليون,مارسيليا,21:45,1 - 0,2024-02-04
كأس خادم الحرمين الشريفين,الفيصلي,الاتحاد,17:15,0 - 4,2024-02-04
الدوري التركي,بينديكسبور,أضنة دمير سبور,12:30,2 - 1,2024-02-04
الدوري التركي,قاسم باشا,ألانيا سبور,15:00,2 - 1,2024-02-04
الدوري التركي,بشكتاش,طرابزون سبور,18:00,2 - 0,2024-02-04
الدوري البرتغالي,شافيش,فيرنسي,17:30,1 - 1,2024-02-04
الدوري البرتغالي,فيزيلا,فيتوريا جيماريش,17:30,0 - 1,2024-02-04
الدوري البرتغالي,بنفيكا,جل فيسنتي,18:00,3 - 0,2024-02-04
الدوري البرتغالي,إستوريل,إستريلا,20:00,1 - 0,2024-02-04
الدوري البرتغالي,سبورتينج براجا,موريرنسي,22:30,1 - 0,2024-02-04
الدوري الإنجليزي,برينتفورد,مانشستر سيتي,22:00,1 - 3,2024-02-05
الدوري الإسباني,رايو فاييكانو,اشبيلية,22:00,1 - 2,2024-02-05
الدوري الإيطالي,روما,كالياري,21:45,4 - 0,2024-02-05
الدوري البرتغالي,كازا بيا,بوافيستا,22:15,0 - 0,2024-02-05
كأس الاتحاد الإنجليزي,كوفنتري سيتي,شيفيلد وينزداي,21:45,4 - 1,2024-02-06
كأس الاتحاد الإنجليزي,بلايموث أرجايل,ليدز يونايتد,21:45,1 - 4,2024-02-06
كأس الاتحاد الإنجليزي,ساوثامبتون,واتفورد,21:45,3 - 0,2024-02-06
كأس رابطة الأندية المحترفة,المصري,طلائع الجيش,16:30,1 - 1,2024-02-06
كأس رابطة الأندية المحترفة,الاتحاد السكندري,سيراميكا كليوباترا,19:30,0 - 1,2024-02-06
كأس ملك أسبانيا,مايوركا,ريال سوسيداد,22:00,0 - 0,2024-02-06
كأس فرنسا,سوشو,رين,21:45,1 - 6,2024-02-06
كأس ألمانيا,باير ليفركوزن,شتوتجارت,21:45,3 - 2,2024-02-06
الدوري التونسي,البنزرتي,النجم الرياضي بالمتلوي,15:00,2 - 0,2024-02-06
الدوري التونسي,اتحاد تطاوين,مستقبل المرسى,15:00,2 - 1,2024-02-06
كأس الأمم الأفريقية,نيجيريا,جنوب أفريقيا,19:00,1 - 1,2024-02-07
كأس الأمم الأفريقية,كوت ديفوار,الكونغو الديمقراطية,22:00,1 - 0,2024-02-07
كأس الاتحاد الإنجليزي,نوتينجهام فورست,بريستول سيتي,21:45,1 - 1,2024-02-07
كأس الاتحاد الإنجليزي,أستون فيلا,تشيلسي,22:00,1 - 3,2024-02-07
كأس ملك أسبانيا,اتلتيكو مدريد,أتلتيك بلباو,22:30,0 - 1,2024-02-07
الدوري السعودي,الطــائي,الاتحاد,20:00,0 - 3,2024-02-07
كأس فرنسا,ليون,ليل,19:30,2 - 1,2024-02-07
كأس فرنسا,لو بوي فوت 43,ستاد لافالوا,21:30,2 - 1,2024-02-07
كأس فرنسا,مونبيليه,نيس,21:30,1 - 4,2024-02-07
كأس فرنسا,سانت بريست,فالينسيان,21:30,1 - 2,2024-02-07
كأس فرنسا,ستراسبورج,لوهافر,21:30,3 - 1,2024-02-07
كأس فرنسا,باريس سان جيرمان,بريست,22:10,3 - 1,2024-02-07
الدوري الألماني,ماينز,يونيون برلين,19:30,1 - 1,2024-02-07
الدوري المغربي,الفتح الرباطي,الوداد البيضاوي,17:00,2 - 1,2024-02-07
الدوري المغربي,نهضة الزمامرة,الاتحاد التوركي,17:00,1 - 2,2024-02-07
الدوري المغربي,الشباب الرياضي السالمي,اتحاد طنجة,17:00,1 - 3,2024-02-07
الدوري المغربي,المغرب التطواني,المغرب الفاسي,19:00,0 - 2,2024-02-07
الدوري المغربي,حسنية اغادير,أولمبيك آسفي,19:00,1 - 1,2024-02-07
الدوري التونسي,سليمان الرياضي,الأولمبي الباجي,15:00,3 - 1,2024-02-07
الدوري التونسي,قوافل قفصة,إتحاد بن قردان,15:00,0 - 0,2024-02-07
كأس فرنسا,روان,موناكو,21:45,1 - 1,2024-02-08
الدوري المغربي,الرجاء البيضاوي,يوسفية برشيد,17:00,1 - 0,2024-02-08
الدوري المغربي,شباب المحمدية,الجيش الملكي,19:00,0 - 3,2024-02-08
الدوري المغربي,مولودية وجدة,نهضة بركان,19:00,1 - 0,2024-02-08
مباريات ودية -أندية,الهلال,النصر,20:00,2 - 0,2024-02-08
الدوري الإسباني,قادش,ريال بيتيس,22:00,0 - 2,2024-02-09
الدوري الإيطالي,ساليرنيتانا,إمبولي,21:45,1 - 3,2024-02-09
الدوري الألماني,بروسيا دورتموند,فرايبورج,21:30,3 - 0,2024-02-09
الدوري الفرنسي,مارسيليا,ميتز,22:00,1 - 1,2024-02-09
الدوري التركي,أضنة دمير سبور,قاسم باشا,19:00,1 - 3,2024-02-09
الدوري البرتغالي,إستريلا,بورتيمونينسي,22:15,3 - 0,2024-02-09
كأس الأمم الأفريقية,جنوب أفريقيا,الكونغو الديمقراطية,22:00,0 - 0,2024-02-10
الدوري الإنجليزي,مانشستر سيتي,ايفرتون,14:30,2 - 0,2024-02-10
الدوري الإنجليزي,ليفربول,بيرنلي,17:00,3 - 1,2024-02-10
الدوري الإنجليزي,توتنهام هوتسبر,برايتون,17:00,2 - 1,2024-02-10
الدوري الإنجليزي,وولفرهامبتون,برينتفورد,17:00,0 - 2,2024-02-10
الدوري الإنجليزي,لوتون تاون,شيفيلد يونايتد,17:00,1 - 3,2024-02-10
الدوري الإنجليزي,فولهام,بورنموث,17:00,3 - 1,2024-02-10
الدوري الإنجليزي,نوتينجهام فورست,نيوكاسل,19:30,2 - 3,2024-02-10
الدوري الإسباني,ألافيس,فياريال,15:00,1 - 1,2024-02-10
الدوري الإسباني,ريال سوسيداد,أوساسونا,17:15,0 - 1,2024-02-10
الدوري الإسباني,ريال مدريد,جيرونا,19:30,4 - 0,2024-02-10
الدوري الإسباني,لاس بالماس,فالنسيا,22:00,2 - 0,2024-02-10
الدوري الإيطالي,كالياري,لاتسيو,16:00,1 - 3,2024-02-10
الدوري الإيطالي,روما,إنتر ميلان,19:00,2 - 4,2024-02-10
الدوري الإيطالي,ساسولو,تورينو,21:45,1 - 1,2024-02-10
الدوري الألماني,فيردر بريمن,هايدنهايم,16:30,1 - 2,2024-02-10
الدوري الألماني,يونيون برلين,فولفسبورج,16:30,1 - 0,2024-02-10
الدوري الألماني,أوجسبورج,لايبزيج,16:30,2 - 2,2024-02-10
الدوري الألماني,مونشنجلادباخ,دارمشتات,16:30,0 - 0,2024-02-10
الدوري الألماني,آ. فرانكفورت,بوخوم,16:30,1 - 1,2024-02-10
الدوري الألماني,باير ليفركوزن,بايرن ميونيخ,19:30,3 - 0,2024-02-10
الدوري الفرنسي,لانس,ستراسبورج,18:00,3 - 1,2024-02-10
الدوري الفرنسي,باريس سان جيرمان,ليل,22:00,3 - 1,2024-02-10
الدوري المغربي,حسنية اغادير,الشباب الرياضي السالمي,17:00,2 - 1,2024-02-10
الدوري المغربي,المغرب الفاسي,الفتح الرباطي,19:00,1 - 2,2024-02-10
الدوري المغربي,أولمبيك آسفي,المغرب التطواني,19:00,2 - 1,2024-02-10
الدوري التركي,فاتح كاراجومروك,بينديكسبور,15:00,2 - 0,2024-02-10
الدوري التركي,جالاتا سراي,إسطنبول باشاكشهير,18:00,2 - 0,2024-02-10
الدوري التونسي,النجم الرياضي بالمتلوي,اتحاد تطاوين,15:00,0 - 0,2024-02-10
الدوري البرتغالي,فيرنسي,فاماليكاو,17:30,1 - 1,2024-02-10
الدوري البرتغالي,موريرنسي,شافيش,20:00,1 - 0,2024-02-10
الدوري البرتغالي,بوافيستا,إستوريل,22:30,2 - 1,2024-02-10
كأس الأمم الأفريقية,نيجيريا,كوت ديفوار,22:00,1 - 2,2024-02-11
الدوري الإنجليزي,وست هام يونايتد,أرسنال,16:00,0 - 6,2024-02-11
الدوري الإنجليزي,أستون فيلا,مانشستر يونايتد,18:30,1 - 2,2024-02-11
الدوري الإسباني,خيتافي,سيلتا فيجو,15:00,3 - 2,2024-02-11
الدوري الإسباني,مايوركا,رايو فاييكانو,17:15,2 - 1,2024-02-11
الدوري الإسباني,اشبيلية,اتلتيكو مدريد,19:30,1 - 0,2024-02-11
الدوري الإسباني,برشلونة,غرناطه,22:00,3 - 3,2024-02-11
الدوري الإيطالي,فيورنتينا,فروزينوني,13:30,5 - 1,2024-02-11
الدوري الإيطالي,مونزا,هيلاس فيرونا,16:00,0 - 0,2024-02-11
الدوري الإيطالي,بولونيا,ليتشي,16:00,4 - 0,2024-02-11
الدوري الإيطالي,جنوى,أتالانتا,19:00,1 - 4,2024-02-11
الدوري الإيطالي,ميلان,نابولي,21:45,1 - 0,2024-02-11
الدوري الألماني,شتوتجارت,ماينز,16:30,3 - 1,2024-02-11
الدوري الألماني,هوفنهايم,كولن,18:30,1 - 1,2024-02-11
الدوري الفرنسي,لوهافر,رين,14:00,0 - 1,2024-02-11
الدوري الفرنسي,كليرمونت,بريست,16:00,1 - 1,2024-02-11
الدوري الفرنسي,تولوز,نانت,16:00,1 - 2,2024-02-11
الدوري الفرنسي,لوريان,ريمس,16:00,2 - 0,2024-02-11
الدوري الفرنسي,مونبيليه,ليون,18:05,1 - 2,2024-02-11
الدوري الفرنسي,نيس,موناكو,21:45,2 - 3,2024-02-11
الدوري المغربي,اتحاد طنجة,نهضة بركان,17:00,0 - 1,2024-02-11
الدوري المغربي,يوسفية برشيد,نهضة الزمامرة,17:00,1 - 0,2024-02-11
الدوري المغربي,الجيش الملكي,الرجاء البيضاوي,17:00,1 - 1,2024-02-11
الدوري المغربي,الوداد البيضاوي,شباب المحمدية,19:00,5 - 2,2024-02-11
الدوري المغربي,الاتحاد التوركي,مولودية وجدة,19:00,2 - 0,2024-02-11
الدوري التركي,سيفاسبور,ريزه سبور,12:30,1 - 0,2024-02-11
الدوري التركي,إسطنبول سبور,غازي عنتاب بي.بي.كي,15:00,1 - 3,2024-02-11
الدوري التركي,قونيا سبور,أنقرة جوتشو,15:00,1 - 0,2024-02-11
الدوري التركي,فنربخشة,ألانيا سبور,18:00,2 - 2,2024-02-11
الدوري التونسي,مستقبل المرسى,قوافل قفصة,15:00,1 - 0,2024-02-11
الدوري التونسي,الأولمبي الباجي,البنزرتي,15:00,0 - 0,2024-02-11
الدوري التونسي,إتحاد بن قردان,سليمان الرياضي,15:00,1 - 0,2024-02-11
الدوري البرتغالي,ريو آفي,كازا بيا,17:30,1 - 0,2024-02-11
الدوري البرتغالي,سبورتينج لشبونة,سبورتينج براجا,20:00,5 - 0,2024-02-11
الدوري البرتغالي,فيتوريا جيماريش,بنفيكا,22:30,2 - 2,2024-02-11
الدوري الإنجليزي,كريستال بالاس,تشيلسي,22:00,1 - 3,2024-02-12
الدوري الإسباني,الميريا,أتلتيك بلباو,22:00,0 - 0,2024-02-12
الدوري الإيطالي,يوفنتوس,أودينيزي,21:45,0 - 1,2024-02-12
دوري القسم الثاني-أ,بروكسي,وادي دجلة,15:00,1 - 0,2024-02-12
دوري القسم الثاني-أ,راية الرياضي,السكة الحديد,15:00,0 - 0,2024-02-12
دوري القسم الثاني-أ,بتروجيت,حرس الحدود,15:00,1 - 1,2024-02-12
دوري القسم الثاني-أ,القناة,لافيينا أف سي,15:00,0 - 1,2024-02-12
دوري القسم الثاني-أ,غزل المحلة,طنطا‏,17:30,3 - 0,2024-02-12
الدوري التركي,طرابزون سبور,هاتاي سبور,16:00,2 - 0,2024-02-12
الدوري التركي,قيصري سبور,بشكتاش,19:00,0 - 0,2024-02-12
الدوري التركي,سامسون سبور,انطاليا سبور,19:00,2 - 0,2024-02-12
الدوري البرتغالي,أروكا,بورتو,22:15,3 - 2,2024-02-12
الدوري المصري,الجونة,المصري,16:00,2 - 2,2024-02-13
الدوري المصري,سموحة,البنك الاهلي,19:00,1 - 1,2024-02-13
دوري أبطال أوروبا,كوبنهاجن,مانشستر سيتي,22:00,1 - 3,2024-02-13
دوري أبطال أوروبا,لايبزيج,ريال مدريد,22:00,0 - 1,2024-02-13
دوري أبطال آسيا,شاندونج تايشان,كاواساكي فورنتال,12:00,2 - 3,2024-02-13
الدوري المغربي,المغرب التطواني,حسنية اغادير,19:00,1 - 1,2024-02-13
الدوري المغربي,الفتح الرباطي,أولمبيك آسفي,21:00,0 - 0,2024-02-13
دوري القسم الثاني-أ,أسوان,أبو قير للاسمدة,14:30,0 - 0,2024-02-13
دوري القسم الثاني-أ,بترول أسيوط,مكادي,15:00,0 - 0,2024-02-13
دوري القسم الثاني-أ,النجوم,جمهورية شبين,15:00,1 - 2,2024-02-13
دوري القسم الثاني-أ,المصرية للاتصالات,مصر المقاصة,15:00,0 - 1,2024-02-13
دوري القسم الثاني-أ,النصر للتعدين,دكرنس,15:00,0 - 1,2024-02-13
الدوري البرتغالي,جل فيسنتي,فيزيلا,17:30,0 - 1,2024-02-13
الدوري الإماراتي,الوحـــدة,الشــارقة,15:25,1 - 1,2024-02-13
الدوري الإماراتي,اتحاد كلباء,خورفكان,16:25,1 - 1,2024-02-13
الدوري الإماراتي,الوصل,النصر الإماراتي,18:00,1 - 0,2024-02-13
الدوري المصري,المقاولون العرب,إنبي,16:00,0 - 1,2024-02-14
الدوري المصري,الاتحاد السكندري,طلائع الجيش,16:00,2 - 2,2024-02-14
الدوري المصري,زد,بيراميدز,19:00,0 - 0,2024-02-14
دوري أبطال أوروبا,باريس سان جيرمان,ريال سوسيداد,22:00,2 - 0,2024-02-14
دوري أبطال أوروبا,لاتسيو,بايرن ميونيخ,22:00,1 - 0,2024-02-14
دوري أبطال آسيا,تشونبك هيونداي,بوهانج,12:00,2 - 0,2024-02-14
دوري أبطال آسيا,بانكوك يونايتد,يوكوهاما مارينوس,14:00,2 - 2,2024-02-14
